CountryName,Province,Status,CityName,Latitude,Longitude
Nicaragua,Granada,Provincial capital,Granada,11.9279971074378,-85.9599986058609
Nicaragua,Carazo,Provincial capital,Jinotepe,11.8459981339805,-86.194997482242
Nicaragua,Rivas,Provincial capital,Rivas,11.4319980656899,-85.8329994954717
Honduras,El Paraiso,Provincial capital,Yuscaran,13.9439969867018,-86.8509985369858
Nicaragua,Nueva Segovia,Provincial capital,Ocotal,13.6299960459315,-86.4729986113374
Nicaragua,Madriz,Provincial capital,Somoto,13.4759971181571,-86.5829965925143
Nicaragua,Jinotega,Provincial capital,Jinotega,13.0910040185543,-86.0000036185396
Nicaragua,Esteli,Provincial capital,Esteli,13.0869989830342,-86.3559985200885
Nicaragua,Matagalpa,Provincial capital,Matagalpa,12.9210029864182,-85.9169965186303
Mexico,Yucatan,Provincial capital,Merida,20.9829960141063,-89.6280024934009
Mexico,Quintana Roo,Provincial capital,Chetumal,18.4979970759633,-88.2909986162294
Belize,Corozal,Provincial capital,Corozal,18.3979981139267,-88.3880005037142
Belize,Orange Walk,Provincial capital,Orange Walk,18.0829981483058,-88.5570025109996
Belize,Belize,Provincial capital,Belize,17.4960001388109,-88.1819994944195
Belize,Cayo,Provincial capital,El Cayo,17.1559980745387,-89.0610025221866
Belize,Cayo,National capital,Belmopan,17.1199980973801,-88.8000025223035
Belize,Stann Creek,Provincial capital,Stann Creek Town,16.9650001447551,-88.2140035376592
Guatemala,Peten,Provincial capital,Flores,16.9270021178953,-89.8839985983969
Turks & Caicos Is.,Turks & Caicos Is.,National and provincial capital,Grand Turk,21.4666650338904,-71.1333264958646
Haiti,Nord-Ouest,Provincial capital,Port-De-Paix,19.9317600760915,-72.8294845231229
Dominican Republic,Monte Cristi,Provincial capital,Monte Cristi,19.8430020880575,-71.6460024843364
Dominican Republic,Puerto Plata,Provincial capital,Puerto Plata,19.7902171033456,-70.6902474734945
Haiti,Nord,Provincial capital,Cap-Haitien,19.7555580402776,-72.2134525711038
Colombia,Magdalena,Provincial capital,Santa Marta,11.2500001301959,-74.1809965181807
Cuba,Camaguey,Provincial capital,Camaguey,21.385998038406,-77.9139985809332
Cuba,Las Tunas,Provincial capital,Victoria De Las Tunas,20.966004151979,-76.9499995051569
Cuba,Holguin,Provincial capital,Holguin,20.8909980215087,-76.2620035087747
Cuba,Granma,Provincial capital,Manzanillo,20.3439960885749,-77.1129985927046
Cuba,Guantanamo,Provincial capital,Guantanamo,20.142999139651,-75.2090035149527
Cuba,Santiago de Cuba,Provincial capital,Santiago De Cuba,20.028996122954,-75.8289954909366
Haiti,Grand Anse,Provincial capital,Jeremie,18.6399271149881,-74.113757528739
Haiti,Sud,Provincial capital,Les Cayes,18.1899990549308,-73.7479976019439
Jamaica,Trelawny,Provincial capital,Falmouth,18.4795830472687,-77.6560496032749
Jamaica,Saint James,Provincial capital,Montego Bay,18.4689990433932,-77.9210005255215
Jamaica,Hanover,Provincial capital,Lucea,18.4429980853749,-78.1790036163364
Jamaica,Westmoreland,Provincial capital,Savanna La Mar,18.1639980969125,-77.9480005083904
Jamaica,Manchester,Provincial capital,Mandeville,18.0330030526045,-77.4999985126426
Jamaica,Saint Elizabeth,Provincial capital,Black River,18.0309960667856,-77.8519974802727
Jamaica,Saint Andrew,Provincial capital,Halfway Tree,18.0333000957727,-76.7999965113013
Jamaica,Saint Ann,Provincial capital,St. Anns Bay,18.4326391392758,-77.1995245371432
Jamaica,Saint Mary,Provincial capital,Port Maria,18.3770010507955,-76.8999954733379
Jamaica,Portland,Provincial capital,Port Antonio,18.159003138143,-76.3800026248743
Jamaica,Saint Catherine,Provincial capital,Spanish Town,17.9949960896271,-76.9519975548581
Jamaica,Clarendon,Provincial capital,May Pen,17.9690040677264,-77.2430035482796
Jamaica,Kingston,National and provincial capital,Kingston,17.9669250965158,-76.7995195873955
Jamaica,Saint Thomas,Provincial capital,Port Morant,17.8910010281879,-76.3289995682047
Haiti,Nord-Est,Provincial capital,Fort-Liberte,19.6655670334988,-71.8448395405403
Dominican Republic,Dajabon,Provincial capital,Dajabon,19.5479999952335,-71.7049975743274
Haiti,Artibonite,Provincial capital,Gonaives,19.4499990828981,-72.6890034590181
Haiti,Centre,Provincial capital,Hinche,19.1430000867162,-72.0039956010703
Dominican Republic,La Estrelleta,Provincial capital,Elias Pina,18.8759970016117,-71.706995458545
Haiti,Ouest,National and provincial capital,Port-au-Prince,18.5266171438559,-72.3431065358376
Dominican Republic,Independencia,Provincial capital,Jimani,18.4930021171938,-71.8509955326628
Haiti,Sud-Est,Provincial capital,Jacmel,18.234999026379,-72.5370025809449
Dominican Republic,Pedernales,Provincial capital,Pedernales,18.037998011374,-71.7409975514859
Dominican Republic,Valverde,Provincial capital,Mao,19.551996094636,-71.0749974776019
Dominican Republic,Santiago Rodrigu,Provincial capital,Sabaneta,19.5049980734865,-71.344988535657
Dominican Republic,Santiago,Provincial capital,Santiago,19.4560020026358,-70.7069965710938
Dominican Republic,Espaillat,Provincial capital,Moca,19.3969981420109,-70.5230005858986
Dominican Republic,Salcedo,Provincial capital,Salcedo,19.3830030234681,-70.4167014954723
Dominican Republic,La Vega,Provincial capital,La Vega,19.2500009933412,-70.5500005687675
Dominican Republic,Monsenor Novel,Provincial capital,Bonao,18.9420031377923,-70.4089975692015
Dominican Republic,San Juan,Provincial capital,San Juan,18.8070030579641,-71.22899657086
Dominican Republic,Baoruco,Provincial capital,Neiba,18.4789980625334,-71.4220014864625
Dominican Republic,Azua,Provincial capital,Azua,18.4539961293658,-70.7290015951932
Dominican Republic,Peravia,Provincial capital,Bani,18.2799989978271,-70.3310034657806
Dominican Republic,Barahona,Provincial capital,Barahona,18.2079990435101,-71.0999995762532
Dominican Republic,Peravia,Other,Punta Palenque,18.2383830017261,-70.1773916042851
Dominican Republic,Maria Trinidad S,Provincial capital,Nagua,19.3760010788797,-69.8470014928743
Dominican Republic,Duarte,Provincial capital,San Francisco De Macoris,19.3010040500107,-70.2539996165765
Dominican Republic,Samana,Provincial capital,Samana,19.212003131965,-69.3320036031801
Dominican Republic,Sanchez Ramirez,Provincial capital,Cotui,19.0590030635576,-70.1520026048386
Dominican Republic,Monte Plata,Provincial capital,Monte Plata,18.8070030579641,-69.7840015328468
Dominican Republic,Santo Domingo,National and provincial capital,Santo Domingo,18.4889970816737,-69.8990035743945
Dominican Republic,San Cristobal,Provincial capital,San Cristobal,18.415998102506,-70.109000517608
Dominican Republic,Hato Major,Provincial capital,Hato Mayor,18.7640011362172,-69.2569974727099
Dominican Republic,El Seibo,Provincial capital,El Seibo,18.7640011362172,-69.0350034606548
Dominican Republic,La Altagracia,Provincial capital,Higuey,18.6159960265792,-68.7079974900748
Dominican Republic,San Pedro de Macor�s,Provincial capital,San Pedro De Macoris,18.4560031151847,-69.3080005293794
Dominican Republic,La Romana,Provincial capital,La Romana,18.4259971216462,-68.9679984651072
Colombia,Valle del Cauca,Provincial capital,Cali,3.4569991357123,-76.5219955476896
Colombia,Cauca,Provincial capital,Popayan,2.4200010807683,-76.6040036227482
Colombia,Caqueta,Provincial capital,Florencia,1.60599606272999,-75.6150026138043
Colombia,Narino,Provincial capital,Pasto,1.21400101853882,-77.2730006057004
Colombia,Putumayo,Provincial capital,Mocoa,1.14900300881011,-76.618997600658
Ecuador,Carchi,Provincial capital,Tulcan,0.821997038230066,-77.7320004799555
Ecuador,Imbabura,Provincial capital,Ibarra,0.362996998491333,-78.130997468735
Colombia,Boyaca,Provincial capital,Tunja,5.54699701899466,-73.3619965413729
Colombia,Caldas,Provincial capital,Manizales,5.06700008160841,-75.5180005608359
Colombia,Risaralda,Provincial capital,Pereira,4.78299603277528,-75.6669955937232
Colombia,Quindio,Provincial capital,Armenia,4.53099602718182,-75.6980006121122
Colombia,Tolima,Provincial capital,Ibague,4.44099608428547,-75.243995531143
Colombia,Meta,Provincial capital,Villavicencio,4.14999902698157,-73.6399975049846
Colombia,Huila,Provincial capital,Neiva,2.92899605072472,-75.2840005438217
Colombia,Distrito Especial,National capital and provincial capital enclave,Bogota,4.63022102214434,-74.080511530637
Colombia,Atlantico,Provincial capital,Barranquilla,10.9839960699421,-74.806001490653
Colombia,Cesar,Provincial capital,Valledupar,10.4670001305467,-73.2509995353454
Colombia,Bolivar,Provincial capital,Cartagena,10.4139990241758,-75.5340024997139
Colombia,Sucre,Provincial capital,Sincelejo,9.30699906461599,-75.3920004752973
Colombia,Cordoba,Provincial capital,Monteria,8.75700005713026,-75.8819965973075
Panama,Darien,Provincial capital,La Palma,8.3978641102459,-78.137261521687
Colombia,Antioquia,Provincial capital,Medellin,6.24099610059822,-75.5919985648542
Colombia,Choco,Provincial capital,Quibdo,5.69099709311249,-76.6539985529659
Venezuela,Zulia,Provincial capital,Maracaibo,10.6450021321218,-71.6370024900467
Venezuela,Trujillo,Provincial capital,Trujillo,9.3750030850142,-70.4320016181516
Venezuela,Merida,Provincial capital,Merida,8.60100307965455,-71.1489954816202
Colombia,Norde de Santander,Provincial capital,Cucuta,7.89100205917299,-72.503000488004
Venezuela,Tachira,Provincial capital,San Cristobal,7.76500213911809,-72.2279965989442
Colombia,Santander,Provincial capital,Bucaramanga,7.11299701829322,-73.1199955549197
Colombia,Arauca,Provincial capital,Arauca,7.07900402695354,-70.7579994622797
Venezuela,Amazonas,Provincial capital,Puerto Ayacucho,5.66600409606244,-67.6349994579722
Venezuela,Yaracuy,Provincial capital,San Felipe,10.3359959846373,-68.7459955169346
Venezuela,Aragua,Provincial capital,Maracay,10.2449970168903,-67.5939955859266
Venezuela,Carabobo,Provincial capital,Valencia,10.178001122944,-68.003000529964
Venezuela,Lara,Provincial capital,Barquisimeto,10.0659959904646,-69.3389966116509
Venezuela,Cojedes,Provincial capital,San Carlos,9.65799900739543,-68.5899985394589
Venezuela,Portuguesa,Provincial capital,Guanare,9.04400101503163,-69.7499996053895
Venezuela,Barinas,Provincial capital,Barinas,8.63000111222473,-70.2099985044953
Colombia,Casanare,Provincial capital,Yopal,5.34699909492141,-72.4059986005193
