Ticker;Nev;Sector;Price;Employees;Optionable;Shortable;Market_Cap;Income;Sales;PperE_ratio;BookValuePerShare;CashPerShare;ROA;ROE;ROI;recom
EQIX;Equinix;Technology;322.01;5042;1;1;22.41;0.1878;2.73;102.68;49.52;32.69;0.022;0.087;0.059;2
EQR;Equity Residential;Financial;70.66;3500;1;1;25.74;0.9051;2.75;29.97;28.68;0.12;0.037;0.083;0.047;2.7
EQT;EQT Corporation;Basic Materials;68.47;1914;1;1;10.68;0.0852;2.34;122.01;33.27;12.94;0.006;0.017;0.056;2.1
ES;Eversource Energy;Utilities;55.4;7943;1;1;17.48;0.8785;7.95;20.12;32.61;;0.029;0.086;0.06;2.6
ESRX;Express Scripts;Healthcare;73.55;25900;1;1;49.89;2.48;101.75;20.57;25.67;4.71;0.047;0.141;0.09;2.5
ESS;Essex Property Trust Inc;Financial;224.51;1806;1;1;14.73;0.2269;1.19;65.25;94.33;0.46;0.019;0.037;;2.4
ETFC;E*Trade;Financial;26.14;3400;1;1;7.41;0.268;1.43;28.81;20.11;13.27;0.008;0.066;0.009;2
ETN;Eaton Corporation;Industrial Goods;62.99;97000;1;1;28.74;1.98;20.86;14.69;32.9;0.96;0.062;0.129;0.094;2.6
ETR;Entergy Corp.;Utilities;74.35;13579;1;1;13.17;-0.1766;11.51;;51.89;7.62;-0.004;-0.018;0.015;3
EW;Edwards Lifesciences;Healthcare;108.33;9800;1;1;22.81;0.4949;2.49;47.99;11.6;5.8;0.132;0.21;;2
EXC;Exelon Corp.;Utilities;34.09;29762;1;1;31.54;2.27;29.45;13.65;27.94;7.04;0.032;0.121;0.064;2.3
EXPD;Expeditors Intl;Services;48.95;15397;1;1;8.89;0.4572;6.62;20.34;9.14;4.45;0.162;0.249;0.263;2.8
EXPE;Expedia Inc.;Services;107.51;18730;1;1;16.15;0.7645;6.67;18.51;35.18;11.27;0.061;0.276;0.089;2.3
EXR;Extra Space Storage;Financial;86;3209;1;1;10.74;0.1889;0.7823;54.96;16.91;0.61;0.035;0.094;0.05;2.2
F;Ford Motor;Consumer Goods;13.61;199000;1;1;54.24;7.37;149.56;7.37;7.21;3.57;0.034;0.275;0.03;2.5
FAST;Fastenal Co;Services;45.63;19218;1;1;13.16;0.515;3.9;25.72;6.31;;0.203;0.287;0.24;2.9
FB;Facebook;Technology;110.56;12691;1;1;321.54;3.67;17.93;85.35;15.65;6.31;0.081;0.09;0.084;1.8
