T2s_Id,Conpany_Name,Company_Description,Profile_URL,Address,Location
7791,Schade Maschinenbau GmbH & Co. KG,"Schade Maschinenbau GmbH & Co. KG&nbsp;manufactures parts and components with technical processes like&nbsp;Drilling, Milling , Planing, Surface Grinding, Turning.",http://www.tech2select.co.uk/schade-maschinenbau-gmbh-und-co-kg/,"Visbeker Str. 31, 27793, Wildeshausen, Germany","<Point><coordinates>8.425454,52.8898585</coordinates></Point>"
1436,Variant Hans Langesee Ges.m.b.H.,"Variant Hans Langesee Ges.m.b.H.&nbsp;manufactures parts and components with technical processes like&nbsp;Turning, Milling , Machining with maching center, Sawing, Thermal treatments , Grinding, Automatic turning, Cleaning, Metal cutting processes, Surface processing.",http://www.tech2select.co.uk/variant-hans-langesee-gesmbh/,"Gaudergasse 21, 6280, Zell am Ziller, Austria","<Point><coordinates>11.8879149,47.2299789</coordinates></Point>"
9411,A. Steiner,"A. Steiner&nbsp;manufactures parts and components with technical processes like&nbsp;Grinding, Mirror finishing, Sawing, Bending, Sheet bending, Rolling, Cutting, Water-jet cutting, Plasma sheet cutting, Edge Bending, Welding.",http://www.tech2select.co.uk/a-steiner/,"Boschstra&szlig;e 10, 27367, Sottrum, Germany","<Point><coordinates>9.21097,53.10366</coordinates></Point>"
3509,ARRK LCO PROTOMOULE,"ARRK LCO PROTOMOULE&nbsp;manufactures parts and components with technical processes like&nbsp;Machining with maching center, Pressing.",http://www.tech2select.co.uk/comp-3509/?setWindowname=1&ShowSupplierInfo=1,"Z.I. des champs de la Pierre , 74540, ALBY Sur Chéran, France","<Point><coordinates>6.0213089,45.816842</coordinates></Point>"
3510,ARTWARE Design SAS,"ARTWARE Design SAS&nbsp;manufactures parts and components with technical processes like&nbsp;Machining with maching center, Pressing.",http://www.tech2select.co.uk/comp-3510/?setWindowname=1&ShowSupplierInfo=1,"47-55 Avenue de I´europe , 92400 , Courbevoie, France","<Point><coordinates>2.25929,48.900552</coordinates></Point>"
1445, Edelstahlwerke Schmees GmbH Standort Pirna, Edelstahlwerke Schmees GmbH Standort Pirna&nbsp;manufactures parts and components with technical processes like&nbsp;Hand molding.,http://www.tech2select.co.uk/-edelstahlwerke-schmees-gmbh-standort-pirna/,"Basteistra&szlig;e 60, 01796, Pirna-Copitz, Germany","<Point><coordinates>13.933934,50.968026</coordinates></Point>"
8734,"Novacero, S. A. L.",,http://www.tech2select.at/comp-8734/,"Pol. Ind. de Júndiz - C/ Júndiz, 25, 01015, Vitoria - Alava, Spain","<Point><coordinates>-2.7481176,42.8211691</coordinates></Point>"
8128,RKM Fr&auml;stechnik GmbH,RKM Fr&auml;stechnik GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Milling .,http://www.tech2select.at/rkm-fraestechnik-gmbh/,"Sonnenhang 22b, 4941, Mehrnbach, Austria","<Point><coordinates>13.4389281,48.2092197</coordinates></Point>"
3451,Franz Oberascher GmbH,"Franz Oberascher GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Hand molding, Ingot mould casting, Investment Casting, Art casting, Forming, Milling , Grinding, Welding, Stress-relief annealing, Thermal treatments , Hardening, Turning, Drilling.",http://www.tech2select.co.uk/franz-oberascher-gmbh/,"S&ouml;llheimer Str. 16, 5028, Salzburg-Kasern, Austria","<Point><coordinates>13.0583803,47.8355241</coordinates></Point>"
8990,INNOPROJEKT,"INNOPROJEKT&nbsp;manufactures parts and components with technical processes like&nbsp;Milling , Wire eroding, Die sinking, Welding, Assembly.",http://www.tech2select.at/innoprojekt/,"Bahnhofstrasse 38, 4910, Ried im Innkreis, Austria","<Point><coordinates>13.4882915,48.2060884</coordinates></Point>"
1517,Walzengie&szlig;erei Coswig GmbH,"Walzengie&szlig;erei Coswig GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Hand molding, Painting.",http://www.tech2select.co.uk/walzengiesserei-coswig-gmbh/,"Grenzstra&szlig;e 1, 01640, Coswig, Germany","<Point><coordinates>13.58518,51.11908</coordinates></Point>"
2164,MGG Antwerpen B.V. Filiaal Belgie,"MGG Antwerpen B.V. Filiaal Belgie&nbsp;manufactures parts and components with technical processes like&nbsp;Dump box casting, Turning, Milling , Grit blasting, Welding, Cleaning, High pressure casting.",http://www.tech2select.co.uk/comp-2164/,"Lage Weg 390, B-2660, Antwerpen, Belgium","<Point><coordinates>4.3660435,51.1886071</coordinates></Point>"
8290,Miroslav Kaderka Kastr,"Miroslav Kaderka Kastr&nbsp;manufactures parts and components with technical processes like&nbsp;Turning, Milling , Welding, , Oxy-acetylene welding, Sawing, Drilling, Face grinding, Grinding.",http://www.tech2select.co.uk/comp-8290/?setWindowname=1&ShowSupplierInfo=1,"Rozhrani 172, 56903, Rozhrani, Czech Republic","<Point><coordinates>16.5345129,49.5969929</coordinates></Point>"
7848,Riegler GmbH,"Riegler GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Machining with maching center, Milling , Grinding, Honing, Wire eroding, Sawing, Glass bead blasting, Welding, Oxy-acetylene welding, Electrode welding, Turning, Carousel turning, Powder coating, Painting, Hardening, Electroplating, Soldering, Trimming, Grit blasting, Pushing, Cutting, Bending, Straightening, Metal cutting processes, Drilling.",http://www.tech2select.co.uk/riegler-gmbh/?setWindowname=1&ShowSupplierInfo=1,"Otto-Hahn-Weg 6, 97469, Gochsheim, Germany","<Point><coordinates>10.28714,50.02628</coordinates></Point>"
9437,Lindner Metall,"Lindner Metall&nbsp;manufactures parts and components with technical processes like&nbsp;Edge Bending, Sawing, Bending, Sheet bending, Assembly, Welding, , Shearing, Drilling.",http://www.tech2select.co.uk/lindner-metall/?setWindowname=1&ShowSupplierInfo=1,"Cranzahler Weg 184, 09474, Crottendorf, Germany","<Point><coordinates>12.95693,50.53962</coordinates></Point>"
9726,Apollo Industries,"Apollo Industries&nbsp;manufactures parts and components with technical processes like&nbsp;Automatic turning,  Nickel coating, Knurling.",http://www.tech2select.co.uk/apollo-industries/,"K – 1 / 281, G.I.D.C., UDHYOGNAGAR, , 361005, Jamnagar (Gujarat), India","<Point><coordinates>70.07,22.47</coordinates></Point>"
7568,Autech s.r.o.,"Autech s.r.o.&nbsp;manufactures parts and components with technical processes like&nbsp;Machining with maching center, Painting, Surface treatment, Grit blasting, Welding, TIG welding, Turning, Drilling, Sawing, Pressing, Bending, Edge Bending, Grinding, Metal cutting processes, Spot-welding, Cutting.",http://www.tech2select.co.uk/comp-7568/,"&#268;áslavská 523, 53701, Chrudim, Czech Republic","<Point><coordinates>15.7816232,49.953386</coordinates></Point>"
1510,vonRoll casting  (rondez) ag,"vonRoll casting  (rondez) ag&nbsp;manufactures parts and components with technical processes like&nbsp;Machine casting, Painting.",http://www.tech2select.at/vonroll-casting--rondez-ag/,"Rondez 17, 2800, Delemont, Switzerland","<Point><coordinates>7.36164,47.36561</coordinates></Point>"
9325,Max Mauch GmbH,,http://www.tech2select.co.uk/max-mauch-gmbh/,"Stuttgarter Stra&szlig;e  76, 78628, Rottweil-Neufra, Germany","<Point><coordinates>8.6662935,48.130985</coordinates></Point>"
7681,PIWEK Krzysztof &#346;lusarstwo,"PIWEK Krzysztof &#346;lusarstwo&nbsp;manufactures parts and components with technical processes like&nbsp;Surface Grinding, Drilling, Milling , Thread cutting, Assembly, Sawing, Machining with maching center.",http://www.tech2select.co.uk/comp-7681/,"Rososzyca ul.Ostrowska 1/c, 63-405, Sieroszewice, Poland","<Point><coordinates>17.9713889,51.6330556</coordinates></Point>"
3720,ACEROS BOEHLER DEL PERU S.A.,"ACEROS BOEHLER DEL PERU S.A.&nbsp;manufactures parts and components with technical processes like&nbsp;Sawing, Pushing, Hot rolling, Drop forging, Smith forging, Pressing, Welding, Cutting.",http://www.tech2select.co.uk/comp-3720/?setWindowname=1&ShowSupplierInfo=1,"Luis Castro Rocneros 777, 1, Lima, Peru","<Point><coordinates>-77.0622028,-12.0478158</coordinates></Point>"
8248,METALING,"METALING&nbsp;manufactures parts and components with technical processes like&nbsp;Machining with maching center, Turning, Surface Grinding, Milling .",http://www.tech2select.at/comp-8248/,"Horny Bar 162, 930 30, Horny Bar , Slovakia","<Point><coordinates>17.464344,47.9467379</coordinates></Point>"
7472,"PAMET, spol. s r.o.","PAMET, spol. s r.o.&nbsp;manufactures parts and components with technical processes like&nbsp;Milling , Drilling, Welding, Assembly, Edge Bending, Sawing, Grog, Pressing, Straightening.",http://www.tech2select.co.uk/comp-7472/?setWindowname=1&ShowSupplierInfo=1,"Komenského 231, 74201, Suchdol nad Odrou, Czech Republic","<Point><coordinates>17.9399959,49.6460983</coordinates></Point>"
8076,"Despa OK, s.r.o.","Despa OK, s.r.o.&nbsp;manufactures parts and components with technical processes like&nbsp;Drilling, Welding, Assembly, Turning, Milling , Machining with maching center, Grinding, Thermal treatments , Cutting, Edge Bending, Pushing, Blasting, Painting, Metal cutting processes.",http://www.tech2select.co.uk/comp-8076/?setWindowname=1&ShowSupplierInfo=1,"Kozelkova 272, 503 51, Chlumec nad Cidlinou, Czech Republic","<Point><coordinates>15.4617583,50.1653249</coordinates></Point>"
9645,ALPRO-Leichtmetallbau GmbH,"ALPRO-Leichtmetallbau GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Bending, Welding, Milling .",http://www.tech2select.co.uk/alpro-leichtmetallbau-gmbh/,"Paul-Ecke-Str.  10, 39114, Magdeburg, Germany","<Point><coordinates>11.67549,52.12824</coordinates></Point>"
3734,Moulds and Tool Steel Center,"Moulds and Tool Steel Center&nbsp;manufactures parts and components with technical processes like&nbsp;Sawing, Pushing, Hot rolling, Drop forging, Smith forging, Pressing, Welding, Cutting.",http://www.tech2select.co.uk/comp-3734/?setWindowname=1&ShowSupplierInfo=1,"P.O. Box 87675, 11652, Riyadh, ","<Point><coordinates>49.663424,27.0084278</coordinates></Point>"
9577,Shankar Spring & Coil Work,"Shankar Spring & Coil Work&nbsp;manufactures parts and components with technical processes like&nbsp;Spooling, Spring coiling.",http://www.tech2select.co.uk/shankar-spring-and-coil-work/,"556 / 12, Aundh - Chinchwad, Stop No. 16, Pawar Nagar, Thergaon , 411 033, Pune, India","<Point><coordinates>73.8567437,18.5204303</coordinates></Point>"
9255,"Ebroacero, S. A.",,http://www.tech2select.co.uk/comp-9255/,"Argualas, 20 , 50012, Zaragoza, Spain","<Point><coordinates>-0.9139206,41.6262959</coordinates></Point>"
7507,NOVOTEC spol. s r.o.,"NOVOTEC spol. s r.o.&nbsp;manufactures parts and components with technical processes like&nbsp;Honing, Thread cutting, Welding, Turning, Milling , Grinding, Curling, Automatic turning.",http://www.tech2select.co.uk/comp-7507/?setWindowname=1&ShowSupplierInfo=1,"Dolné Orešany 435, 919 02, Slowakei, Slovakia","<Point><coordinates>17.4291779,48.4392777</coordinates></Point>"
9075,WINKELBAUER GmbH,"WINKELBAUER GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Flame cutting, Plasma sheet cutting, Edge Bending, Welding, Milling , Drilling, Hardening, Assembly.",http://www.tech2select.co.uk/winkelbauer-gmbh/,"Viertelfeistritz 64, 8184, Anger/ Hart-Puch, Austria","<Point><coordinates>15.7006019,47.2478225</coordinates></Point>"
1280,Raimund H&ouml;llein Carolinenh&uuml;tte GmbH & Co. KG,Raimund H&ouml;llein Carolinenh&uuml;tte GmbH & Co. KG&nbsp;manufactures parts and components with technical processes like&nbsp;Hand molding.,http://www.tech2select.at/raimund-hoellein-carolinenhuette-gmbh-und-co-kg/,"Carolinenh&uuml;tte  2, 93183, Kallm&uuml;nz, Germany","<Point><coordinates>11.92295,49.18602</coordinates></Point>"
1327,Kurtz GmbH,"Kurtz GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Hand molding, Painting.",http://www.tech2select.co.uk/kurtz-gmbh/,"Eisenhammer , 97907, Hasloch/Main, Germany","<Point><coordinates>9.49385,49.81303</coordinates></Point>"
7775,Alpha-Tech Pr&auml;zisionsbau GmbH,"Alpha-Tech Pr&auml;zisionsbau GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Metal sheet working, Welding, Milling , Grinding, Turning.",http://www.tech2select.de/alpha-tech-praezisionsbau-gmbh/,"Gries 1a, 9761, Greifenburg, Austria","<Point><coordinates>13.1719225,46.7491424</coordinates></Point>"
3598,DI Herzmaier GmbH,"DI Herzmaier GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Milling , Wire eroding, Erode, Grinding, Turning, Sawing, Grit blasting.",http://www.tech2select.co.uk/di-herzmaier-gmbh/,"Alte Wagnerstra&szlig;e 2, 8724, Spielberg, Austria","<Point><coordinates>14.7926712,47.2026221</coordinates></Point>"
9160,ALLGAIER WERKE GmbH,"ALLGAIER WERKE GmbH&nbsp;manufactures parts and components with technical processes like&nbsp;Bending, Edge Bending, Transforming, Cutting, Sheet-working.",http://www.tech2select.co.uk/allgaier-werke-gmbh/,"Ulmer Stra&szlig;e 75, 73066, Uhingen, Germany","<Point><coordinates>9.5947711,48.7069842</coordinates></Point>"
3680,Ing. Siegfried Stichauner Kunststofftechnik,Ing. Siegfried Stichauner Kunststofftechnik&nbsp;manufactures parts and components with technical processes like&nbsp;Injection mold.,http://www.tech2select.de/ing-siegfried-stichauner-kunststofftechnik/,"Freidensweg 11, 9241, Wernberg, Austria","<Point><coordinates>13.9361823,46.6134227</coordinates></Point>"
