OBJECTID,Name,Longitude,Latitude,LocationDescription,RegionID,RegionName
13325,River Dzilnupite,23.850000381469727,56.930000305175781,Latvia,,
13326,River Nerina,23.870000839233398,56.950000762939453,Latvia,,
13327,Lielupe-Kauguri,23.829999923706055,56.970001220703125,Latvia,,
13328,Techirghiol,28.670000076293945,43.970001220703125,Romania,,
13329,Koksu Lake,58.830001831054687,43.880001068115234,Uzbekistan,,
13330,Dumalak Lake,58.900001525878906,43.830001831054688,Uzbekistan,,
13331,Belleserre,1.9166667461395264,44.083332061767578,France,,
13332,Lac De R�tenue De Ch�teau-Arnoux,5.9800000190734863,44.139999389648438,France,,
13333,Lac De R�tenue De Sisteron,5.9200000762939453,44.150001525878906,France,,
13334,Bosna: Visoko,18.166666030883789,44,Bosnia And Herzegowina,,
13335,Danube: Mouth Of River Timok,22.670000076293945,44.150001525878906,Bulgaria,,
13336,Danube: Malak Preslavez,26.799999237060547,44.029998779296875,Bulgaria,,
13337,Belona. N. Eforie,28.670000076293945,44.069999694824219,Romania,,
13338,Gracac-Akumula,15.800000190734863,44.220001220703125,Croatia,,
13339,Lake Dunareni,27.770000457763672,44.180000305175781,Romania,,
13340,Espinasses,6.320000171661377,44.512001037597656,France,,
13341,Paska Solana,15.050000190734863,44.400001525878906,Croatia,,
13342,Salt Pans On Island Pag,15,44.450000762939453,Croatia,,
13343,Dunav: Korbovo,22.700000762939453,44.483333587646484,Serbia And Montenegro,,
13344,Mostistea Wetlands,26.799999237060547,44.330001831054688,Romania,,
13345,Cap Midia,28.670000076293945,44.330001831054688,Romania,,
13346,Lake Corbu (Gargalac),28.670000076293945,44.330001831054688,Romania,,
13347,Lakes Nuntasi And Tuzla,28.700000762939453,44.479999542236328,Romania,,
13348,Autres S�tes- 48 Loz�re,3.5,44.533332824707031,France,,
13349,Lac De Serre-Poncon,6.3400001525878906,44.490001678466797,France,,
13350,The Mullet Broadhaven & Blacks: Termoncarragh Lake,-10.050000190734863,54.25,Ireland,,
13351,The Mullet Broadhaven & Blacks: Aghleam Bay,-10.079999923706055,54.119998931884766,Ireland,,
13352,Tramo Costero Entre Portizuelo Y Tablizo,,,Spain,,
13353,Corraharra Lough,,,United Kingdom,,
13354,Upper Lough Erne: Sector 5,,,United Kingdom,,
13355,West Of Dernish Island,,,United Kingdom,,
13356,South West Of Trannish,,,United Kingdom,,
13357,West Of Inishcrevan,,,United Kingdom,,
13358,Inishlirroo,,,United Kingdom,,
13359,Derryallen Lough,,,United Kingdom,,
13360,South Of Inishmore Viaduct,,,United Kingdom,,
13361,East Of Knock Island,,,United Kingdom,,
13362,Lough Barry,,,United Kingdom,,
13363,Lough Crowey,,,United Kingdom,,
13364,Bellanaleck,,,United Kingdom,,
13365,Mill Lough (Bellanaleck),,,United Kingdom,,
13366,Curragheens Marsh,,,United Kingdom,,
13367,Lough Raymond,,,United Kingdom,,
13368,Gola Lough,,,United Kingdom,,
13369,South Of Inishcreenry,,,United Kingdom,,
13370,Lough Head,,,United Kingdom,,
13371,Sand Lough,,,United Kingdom,,
13372,North Of Ininsherk,,,United Kingdom,,
13373,Derrymacrow Lough,,,United Kingdom,,
13374,Lough Nalughoge,,,United Kingdom,,
13375,Bun Bridge Marsh,,,United Kingdom,,
13376,Woodford River,,,United Kingdom,,
13377,South Of Cloontycoora,,,United Kingdom,,
13378,Derryelvin Channel,,,United Kingdom,,
13379,Cleenish Island Channel (East),,,United Kingdom,,
13380,Cleenish Island Channel (West),,,United Kingdom,,
13381,Galloon Bridge,,,United Kingdom,,
13382,Fallmore,-10.124699592590332,54.092201232910156,Ireland,,
13383,Inishkeeragh (Mayo),-10.145600318908691,54.199699401855469,Ireland,,
13384,Termoncarragh,-10.086600303649902,54.245700836181641,Ireland,,
13385,Gweesalia,-9.9270000457763672,54.113601684570312,Ireland,,
13386,Stags Of Broad Haven,-9.7849998474121094,54.367401123046875,Ireland,,
13387,Mason Island,-9.8900003433227539,53.296398162841797,Ireland,,
13388,Croaghnakeela Island,-9.9812002182006836,53.321800231933594,Ireland,,
13389,Inishdawros,-10.060099601745605,53.401401519775391,Ireland,,
13390,Slyne Head Islands,-10.225399971008301,53.398399353027344,Ireland,,
13391,Eashal Island,-10.170700073242187,53.507198333740234,Ireland,,
13392,Friar Islands,-10.233400344848633,53.550998687744141,Ireland,,
13393,Inishshark,-10.297100067138672,53.612701416015625,Ireland,,
13394,Inishkinny,-10.251299858093262,53.604598999023438,Ireland,,
13395,Inishbofin Group,-10.222000122070312,53.623100280761719,Ireland,,
13396,Inishbroon To Frehill Island,-10.040399551391602,53.617401123046875,Ireland,,
13397,Illaunonearaun,-9.729100227355957,52.651901245117187,Ireland,,
13398,Magharee Islands,-10.038999557495117,52.323501586914063,Ireland,,
13399,Coolfin / Portnascully,,,Ireland,,
13400,Wexford Harbour & Slobs,,,Ireland,,
13401,Skerries Islands,-6.097599983215332,53.574699401855469,Ireland,,
13402,Stabannan / Braganstown,,,Ireland,,
13403,Ventimiglia,7.6333298683166504,43.783329010009766,Italy,,
13404,Gombad-E-Qabus River,55,37.333000183105469,Iran,,
13405,Jambul Marsh,52.833000183105469,36.700000762939453,Iran,,
13406,Khalegdad Marsh,61.617000579833984,30.799999237060547,Iran,,
13407,Ismael Kola Ab-Bandan,52.833000183105469,36.650001525878906,Iran,,
13408,Golestan/Unknown,,,Iran,,
13409,R�o Araxes (Ss),-2.0720000267028809,43.095001220703125,Spain,,
13410,Estuario De Bed�a (Ss),-2.253000020980835,43.265998840332031,Spain,,
13411,Embalse De Ibai-Eder (Ss),,,Spain,,
13412,Embalse De Urdalur (Ss),,,Spain,,
13413,Errotazar (Ss),,,Spain,,
13414,Hjulsta,17.030000686645508,59.529998779296875,Sweden,,
13415,Isla Y Cabo De Villano (Bi),-2.9409999847412109,43.418998718261719,Spain,,
13416,Balsas De Petronor. San Juan De Somorrostro (Bi),-3.1050000190734863,43.317001342773438,Spain,,
13417,Elantxobe,,,Spain,,
13418,Santurce,,,Spain,,
13419,Cabo Matxitxako,,,Spain,,
13420,Costa De Vizcaya,,,Spain,,
13421,Mundaka,,,Spain,,
13422,Carrizal De Valdelafuente (Na),-1.6660000085830688,42.122001647949219,Spain,,
13423,Gallipienzo-Carcastillo,,,Spain,,
13424,Santacara,-1.5119999647140503,42.365001678466797,Spain,,
13425,Endarlaza,,,Spain,,
13426,R�o Ebro. Soto De Traslapuente,-1.6039999723434448,42.076000213623047,Spain,,
13427,Elbetea,,,Spain,,
13428,Valgma-Vihterpalu At Sea,23.899999618530273,59.330001831054687,Estonia,,
13429,Ugla-Vihterpalu At Sea,23.899999618530273,59.330001831054687,Estonia,,
13430,Kersalu-Leetse At Sea,24.079999923706055,59.419998168945313,Estonia,,
13431,Tornimae  At Sea,24.25,59.419998168945313,Estonia,,
13432,Keila-Joa Pond,24.25,59.419998168945313,Estonia,,
