helyseg;lakos
Balatonszemes;1827
Tiszanagyfalu;1826
Vajszló;1821
Soponya;1820
Szederkény;1817
Tarnaörs;1812
Piricse;1810
Szokolya;1810
Bócsa;1803
Somogyvár;1803
Tázlár;1797
Ikervár;1795
Ricse;1795
Visegrád;1795
Izsófalva;1794
Csór;1791
Nagyszentjános;1790
Petneháza;1790
Tarnalelesz;1789
Bakonyszentlászló;1787
Méra;1786
Levél;1785
Nagycserkesz;1785
Csákánydoroszló;1780
Újszentiván;1775
Nyírtura;1774
Váchartyán;1772
Tömörkény;1768
Fülöp;1761
Geszteréd;1761
Pusztaföldvár;1761
Nagyvázsony;1760
Ikrény;1755
Vértesacsa;1746
Enese;1745
Nádasdladány;1745
Zsadány;1745
Leányvár;1744
Báta;1742
Csopak;1741
Murakeresztúr;1741
Tiszasziget;1739
Atkár;1738
Besnyõ;1737
Olaszliszka;1737
Máriakálnok;1733
Mátranovák;1730
Szabolcsveresmart;1728
Miske;1722
Szilvásvárad;1720
Fábiánháza;1718
Nógrádmegyer;1716
Németkér;1715
Ászár;1713
Fajsz;1712
Jászboldogháza;1711
Jánkmajtis;1710
Mosonszolnok;1707
Monok;1700
Érpatak;1692
Kunszállás;1691
Bükkábrány;1690
Hernádkak;1689
Pátka;1686
Tiszatenyõ;1684
Pócspetri;1681
Ormosbánya;1680
Pacsa;1676
Csólyospálos;1673
Álmosd;1672
Újlengyel;1672
Tarnaméra;1671
Csépa;1669
Kisgyõr;1664
Tác;1664
Vasmegyer;1664
Kakasd;1658
Zalaapáti;1654
Istenmezeje;1653
Jásztelek;1648
Rábapaty;1648
Szár;1646
Varsány;1646
Vámosmikola;1644
Dudar;1643
Kõtelek;1640
Hangony;1639
Türje;1638
Gyõrladamér;1635
Bana;1630
Mezõnyárád;1630
Bak;1628
Foktõ;1628
Szomolya;1627
Kurityán;1625
Nagykörû;1624
Nagyfüged;1623
Ozora;1620
Derekegyház;1618
Tiszajenõ;1617
Palotás;1616
Gyõrtelek;1615
Tardos;1615
Balatonszentgyörgy;1614
Vámosszabadi;1614
Kaposfõ;1613
Bajót;1607
Balatonkeresztúr;1605
Tinnye;1604
Mátraszõlõs;1603
Somogyjád;1601
Gyõrújfalu;1600
Szûcsi;1600
Tiszakanyár;1599
Babócsa;1597
Ladánybene;1597
Felsõörs;1591
Nagylóc;1591
Zsáka;1590
Mezõtárkány;1589
Szepetnek;1589
Sarkadkeresztúr;1587
Alsóörs;1586
Somogyszob;1586
Karád;1584
Pusztamonostor;1581
Szerep;1576
Csokonyavisonta;1575
Öreglak;1572
Pálfa;1572
Gellénháza;1571
Pilisjászfalu;1571
Tiszaroff;1571
Gyöngyösoroszi;1567
Darnózseli;1566
Kunbaja;1562
Görcsöny;1559
Karancsalja;1557
Kunadacs;1557
Tiszaszõlõs;1548
Csomád;1546
Dédestapolcsány;1546
Kékcse;1546
Dunaalmás;1542
Kápolna;1542
Magyaralmás;1539
Legyesbénye;1538
Alsóvadász;1531
Nagysáp;1531
Ramocsaháza;1529
Sárkeresztes;1527
Nagyharsány;1526
Papkeszi;1526
Kõszárhegy;1524
Bátmonostor;1519
Majosháza;1519
Tárkány;1518
Kölesd;1515
Szendehely;1515
Hegykõ;1513
Átány;1512
Dunasziget;1510
Szatmárcseke;1508
Sajókeresztúr;1507
Vaszar;1507
Kötegyán;1506
Tiszavárkony;1506
Kaposszekcsõ;1504
Penc;1502
Hortobágy;1498
Mecseknádasd;1497
Ludányhalászi;1496
Tényõ;1494
Balotaszállás;1492
Drégelypalánk;1491
Szákszend;1486
Újszentmargita;1486
Csátalja;1485
Nagyvarsány;1484
Kincsesbánya;1481
Nagyberki;1480
Tiszasüly;1476
Pusztaszer;1467
Vilmány;1467
Bükkaranyos;1466
Tiszakürt;1463
Söjtör;1461
Tiszapalkonya;1461
Alcsútdoboz;1458
Gyõrság;1458
Kálló;1458
Kutas;1456
Magyarcsanád;1455
Pusztadobos;1455
Püspökhatvan;1453
Õr;1451
Bakonyszombathely;1450
Kübekháza;1450
Telekgerendás;1450
Dunaegyháza;1446
Petõfiszállás;1446
Egerbakta;1445
Sajópetri;1441
Gyermely;1436
Tiszatelek;1436
Borota;1432
Etes;1429
Pácin;1428
Lövõ;1427
Nagykamarás;1426
Biri;1424
Tetétlen;1422
Pereszteg;1421
Novajidrány;1420
Tevel;1419
Somberek;1418
Szeremle;1417
Tibolddaróc;1417
Tiszatarján;1416
Pitvaros;1415
Sényõ;1414
Réde;1412
Véménd;1411
Mernye;1410
Acsa;1407
Ugod;1402
Verseg;1402
Bánhorváti;1401
Homokmégy;1398
Végegyháza;1396
Szügy;1391
Nógrád;1389
Novaj;1389
Szakály;1387
Tiszaörs;1387
Köröm;1386
Kisapostag;1385
Bodroghalom;1384
Mesztegnyõ;1384
Bezenye;1377
Dejtár;1377
Vasszécseny;1374
Buzsák;1369
Pusztavacs;1367
Látrány;1364
Alsópáhok;1360
Kölcse;1360
Vácduka;1360
Sárszentágota;1359
Tihany;1358
Szil;1354
Bánréve;1352
Gerendás;1352
Sé;1352
Nagykereki;1349
Kétsoprony;1348
Vizslás;1347
Egercsehi;1346
Vajdácska;1346
Pély;1345
Timár;1345
Sukoró;1343
Városlõd;1343
Esztár;1342
Balatonfõkajár;1339
Csókakõ;1338
Tök;1338
Mezõszentgyörgy;1334
Nagykarácsony;1333
Jenõ;1332
Nádasd;1332
Balatonendréd;1330
Nagyberény;1330
Kõröshegy;1329
Neszmély;1325
Egyházasrádóc;1315
Iván;1308
Rém;1306
Vitnyéd;1306
Bágyogszovát;1304
Sajóörös;1304
Szigetbecse;1304
Boconád;1303
Kocsola;1303
Daruszentmiklós;1302
Tótvázsony;1297
Vértessomló;1294
Taktakenéz;1293
Komoró;1289
Soltszentimre;1288
Igal;1286
Kenézlõ;1281
Mártély;1281
Jármi;1280
Magyarkeszi;1278
Ecsegfalva;1274
Tard;1274
Kajárpéc;1273
Paszab;1273
Börcs;1271
Iharosberény;1271
Igrici;1266
Gyarmat;1265
Halmajugra;1265
Bakonybél;1264
Nagybánhegyes;1264
Kismarja;1263
Gyömöre;1262
Kajdacs;1262
Vanyarc;1262
Fertõszéplak;1261
Dalmand;1259
Kõvágószõlõs;1255
Bagod;1254
Galambok;1244
Karancsság;1242
Lovászi;1242
Páhi;1240
Endrefalva;1238
Zalahaláp;1238
Ilk;1237
Szakmár;1237
Murony;1236
Sióagárd;1236
Bükkszentkereszt;1234
Hencida;1234
Inke;1233
Nárai;1233
Somogysárd;1233
Mezõcsokonya;1232
Súr;1232
Bakonszeg;1231
Keszü;1228
Szõlõsgyörök;1228
Tataháza;1228
Tenk;1225
Apaj;1224
Gyúró;1223
Rohod;1223
Máza;1222
Nagyiván;1219
Ináncs;1218
Kehidakustány;1218
Kunsziget;1218
Tarnazsadány;1218
Eperjeske;1217
Márkó;1216
Sopronkövesd;1214
Zebegény;1213
Felgyõ;1211
Ravazd;1211
Hédervár;1209
Kislõd;1208
Borsodszentgyörgy;1204
Gerjen;1203
Szirák;1203
Váncsod;1203
Hetes;1201
Gyüre;1200
Mezõszemere;1199
Szabolcsbáka;1199
Sarud;1198
Nyírcsászári;1197
Hejõpapi;1196
Nagyesztergár;1196
Balatonvilágos;1195
Juta;1195
Bénye;1193
Pilisszentlászló;1193
Makád;1192
Õriszentpéter;1189
Pusztamérges;1187
Révfülöp;1187
Borsodszirák;1185
Alsószentmárton;1184
Rezi;1184
Pogány;1183
Tarany;1183
Kurd;1182
Furta;1181
Szuhogy;1181
Bácsborsód;1179
Csabdi;1178
Ecseg;1178
Berente;1177
Monostorapáti;1176
Szalánta;1176
Regöly;1175
Csákberény;1171
Magyarpolány;1170
Bodrogkeresztúr;1168
Detk;1166
Pápateszér;1166
